id,product_id,name,value,printful_variant_id,price,in_stock,is_available,color,color_hex,design,size,created_at,updated_at,color_name,color_hex_code,size_name
00062dcf-c0de-4237-9a84-6ce2241a2474,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Pink / M,Light Pink-M,4938797556,39.99,true,true,Light Pink,#f3d4e3,,M,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Pink,,M
00db66e6-7ade-4c61-9169-feaa5ecf817a,29b2e16a-39e8-4322-aaf1-0529b3973212,Reform UK Cap / Black,Black-One Size,4938937571,19.99,true,true,Black,#181717,,One Size,2025-09-01 03:59:02.060257+00,2025-09-02 04:57:36.088816+00,Black,,One Size
046bd120-18dc-4db9-902b-84ba17a96444,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / Light Pink / XL,Light Pink-XL,4938797558,39.99,true,true,Light Pink,#f3d4e3,,XL,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,Light Pink,,XL
050e8492-cab7-47ab-a4dd-68f6203dd4c0,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Athletic Heather / M,Athletic Heather-M,4938814144,24.99,true,true,Athletic Heather,#cececc,,M,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Athletic Heather,,M
066d468c-9dd7-4630-b9a1-b34fd92e1462,29b2e16a-39e8-4322-aaf1-0529b3973212,Reform UK Cap / Navy,Navy-One Size,4938937572,19.99,true,true,Navy,#182031,,One Size,2025-09-01 03:59:02.060257+00,2025-09-02 04:57:36.088816+00,Navy,,One Size
06ea02d4-1966-4cee-a0a7-640448a3a9e0,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Heather Dust / S,Heather Dust-S,4938814153,24.99,true,true,Heather Dust,#e5d9c9,,S,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Heather Dust,,S
08806313-0ee7-4006-a8ac-104dde64fc25,41412063-9f04-42ef-aafd-9800a47238ae,Unisex Hoodie LIGHT / White / M,White-M,4938797561,39.99,true,true,White,#ffffff,,M,2025-09-01 03:59:48.144924+00,2025-09-02 04:57:36.088816+00,White,,M
0a575c2f-ab4f-4258-a7da-e04345f9ae4f,583bc73c-fdd4-4c53-aeb8-a39b73e1371c,Unisex t-shirt LIGHT / Yellow / 2XL,Yellow-2XL,4938814152,24.99,true,true,Yellow,#ffd667,,2XL,2025-09-01 03:59:24.176924+00,2025-09-02 04:57:36.088816+00,Yellow,,2XL
0b3c8164-2383-4ea5-a471-f95046e5222a,814074c6-e88d-4505-9089-6ac04124ea23,Unisex t-shirt DARK / Heather Deep Teal / L,Heather Deep Teal-L,4938821329,24.99,true,true,Heather Deep Teal,#447085,,L,2025-09-01 04:00:27.309073+00,2025-09-02 04:57:36.088816+00,Heather Deep Teal,,L
0bc03427-b35d-47a8-bd9d-48976019a59d,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Navy / S,Navy-S,4938800538,39.99,true,true,Navy,#131928,,S,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Navy,,S
0d17f9b7-cb23-472b-b467-f72aea97d8d8,5889188a-e6c9-4161-96fa-c370a2a3c89b,Unisex Hoodie DARK / Navy / 2XL,Navy-2XL,4938800542,39.99,true,true,Navy,#131928,,2XL,2025-09-01 03:59:38.006621+00,2025-09-02 04:57:36.088816+00,Navy,,2XL
